id,state,argument,extra
1,6,2,apply 2
2,2,3090,.
3,0,0,/home/job_8/file_3
4,7,2,release 2
5,0,0,/home/job_8/file_5
6,4,0,.
7,2,3002,.
8,2,4166,.
9,4,0,.
10,5,11,.
11,4,0,.
12,5,13,.
13,4,0,.
14,4,0,.
15,2,2912,.
16,2,5520,.
17,2,5130,.
18,3,5100,.
19,3,3320,.
20,5,21,.
21,1,0,.
22,5,23,.
23,0,1,6 /home/job_8/file_3
24,1,0,.
25,3,4290,.
26,2,2752,.
27,5,28,.
28,0,3,/home/job_8/file_3
29,3,3774,.
30,5,31,.
31,2,1790,.
32,5,33,.
33,2,2380,.
34,2,5284,.
35,2,1654,.
36,1,0,.
37,6,1,apply 1
38,1,0,.
39,0,3,/home/job_8/file_5
40,2,3544,.
41,1,0,.
42,1,0,.
43,5,44,.
44,4,0,.
45,1,0,.
46,1,0,.
47,2,2760,.
48,5,49,.
49,1,0,.
50,7,1,release 1
51,2,4496,.
52,4,0,.
53,5,54,.
